1589303384.101132729 1 china.com.cn china.com.cn 9244
1589303384.350605974 1 accounts.google.com accounts.google.com 299
1589303386.545416356 1 www.china.com.cn www.china.com.cn.chinacache.net 157
1589303386.545416356 2 www.china.com.cn.chinacache.net hpcc-download-foreign.chinacache.net 119
1589303386.545416356 3 hpcc-download-foreign.chinacache.net hpcc-download-foreign.chinacache.net 119
1589303386.545416356 4 hpcc-download-foreign.chinacache.net www.china.com.cn 119
1589303387.108204976 1 images.china.cn images.china.cn.chinacache.net 2000
1589303387.108204976 2 images.china.cn.chinacache.net hpcc-download-foreign.chinacache.net 1800
1589303387.108204976 3 hpcc-download-foreign.chinacache.net hpcc-download-foreign.chinacache.net 119
1589303387.108204976 4 hpcc-download-foreign.chinacache.net images.china.cn 119
1589303387.490862060 1 kxlogo.knet.cn kxlogo.knet.cn 299
1589303388.457832512 1 image.finance.china.cn image.finance.china.ccgslb.com.cn 807
1589303388.457832512 2 image.finance.china.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 1800
1589303388.457832512 3 hpcc-page.cnc.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 119
1589303388.457832512 4 hpcc-page.cnc.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 119
1589303388.457832512 5 hpcc-page.cnc.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 119
1589303388.457832512 6 hpcc-page.cnc.ccgslb.com.cn image.finance.china.cn 119
1589303389.169880826 1 images.chinagate.cn cn.chinagate.ccgslb.net 13852
1589303389.169880826 2 cn.chinagate.ccgslb.net hpcc-download-foreign.ccgslb.net 1800
1589303389.169880826 3 hpcc-download-foreign.ccgslb.net hpcc-download-foreign.ccgslb.net 119
1589303389.169880826 4 hpcc-download-foreign.ccgslb.net images.chinagate.cn 119
1589303389.365532742 1 app.china.com.cn app.china.com.cn 21599
1589303389.516853877 1 cacerts.geotrust.com cacerts.digicert.com 124
1589303389.516853877 2 cacerts.digicert.com cdn.digicertcdn.com 400
1589303389.516853877 3 cdn.digicertcdn.com cdn.digicertcdn.com 124
1589303389.516853877 4 cdn.digicertcdn.com cacerts.geotrust.com 124
1589303389.547292030 1 image.auto.china.cn image.auto.china.ccgslb.com.cn 1799
1589303389.547292030 2 image.auto.china.ccgslb.com.cn hpcc-download-foreign.ccgslb.com.cn 1800
1589303389.547292030 3 hpcc-download-foreign.ccgslb.com.cn hpcc-download-foreign.ccgslb.com.cn 119
1589303389.547292030 4 hpcc-download-foreign.ccgslb.com.cn image.auto.china.cn 119
1589303389.892969981 1 image.tech.china.cn image.tech.ccgslb.com.cn 3030
1589303389.892969981 2 image.tech.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 3599
1589303389.892969981 3 hpcc-page.cnc.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 119
1589303389.892969981 4 hpcc-page.cnc.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 119
1589303389.892969981 5 hpcc-page.cnc.ccgslb.com.cn hpcc-page.cnc.ccgslb.com.cn 119
1589303389.892969981 6 hpcc-page.cnc.ccgslb.com.cn image.tech.china.cn 119
1589303390.001775325 1 arabic.china.org.cn arabic.china.org.chinacache.net 3599
1589303390.001775325 2 arabic.china.org.chinacache.net hpcc-page.cncssr.chinacache.net 1800
1589303390.001775325 3 hpcc-page.cncssr.chinacache.net hpcc-page.cncssr.chinacache.net 119
1589303390.001775325 4 hpcc-page.cncssr.chinacache.net hpcc-page.cncssr.chinacache.net 119
1589303390.001775325 5 hpcc-page.cncssr.chinacache.net hpcc-page.cncssr.chinacache.net 119
1589303390.001775325 6 hpcc-page.cncssr.chinacache.net arabic.china.org.cn 119
1589303390.381580690 1 spanish.china.org.cn spanish.china.org.chinacache.net 3599
1589303390.381580690 2 spanish.china.org.chinacache.net hpcc-page.cncssr.chinacache.net 1800
1589303390.381580690 3 hpcc-page.cncssr.chinacache.net hpcc-page.cncssr.chinacache.net 119
1589303390.381580690 4 hpcc-page.cncssr.chinacache.net hpcc-page.cncssr.chinacache.net 119
1589303390.381580690 5 hpcc-page.cncssr.chinacache.net hpcc-page.cncssr.chinacache.net 119
1589303390.381580690 6 hpcc-page.cncssr.chinacache.net spanish.china.org.cn 119
1589303390.402182970 1 big5.china.com.cn big5.china.com.cn.chinacache.net 5514
1589303390.402182970 2 big5.china.com.cn.chinacache.net hpcc-download-foreign.chinacache.net 1800
1589303390.402182970 3 hpcc-download-foreign.chinacache.net hpcc-download-foreign.chinacache.net 119
1589303390.402182970 4 hpcc-download-foreign.chinacache.net big5.china.com.cn 119
1589303390.451847009 1 ubuntu.com connectivity-check.ubuntu.com 1420
1589303390.451904210 1 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 348
1589303390.451904210 2 connectivity-check.ubuntu.com connectivity-check.ubuntu.com 348
1589303391.482197545 1 <Root> vitshwd 86387
1589303391.482227345 1 <Root> cbvsyagsexty 86393
1589303391.506002800 1 <Root> lesoukxvcib 86390
1589303391.643281058 1 rr.knet.cn rr.knet.cn.trpcdn.net 48
1589303391.643281058 2 rr.knet.cn.trpcdn.net upichqipv6.v.trpcdn.net 1799
1589303391.643281058 3 upichqipv6.v.trpcdn.net upichqipv6.v.trpcdn.net 117
1589303391.643281058 4 upichqipv6.v.trpcdn.net upichqipv6.v.trpcdn.net 117
1589303391.643281058 5 upichqipv6.v.trpcdn.net upichqipv6.v.trpcdn.net 117
1589303391.643281058 6 upichqipv6.v.trpcdn.net upichqipv6.v.trpcdn.net 117
1589303391.643281058 7 upichqipv6.v.trpcdn.net rr.knet.cn 117
1589303391.809325401 1 www.china.org.cn www.china.org.chinacache.net 2243
1589303391.809325401 2 www.china.org.chinacache.net hpcc-download-foreign.chinacache.net 119
1589303391.809325401 3 hpcc-download-foreign.chinacache.net hpcc-download-foreign.chinacache.net 119
1589303391.809325401 4 hpcc-download-foreign.chinacache.net www.china.org.cn 119
1589303391.997076565 1 cl2.webterren.com cl2.webterren.com 599
1589303392.206681184 1 ss.knet.cn ss.knet.cn 599
1589303392.690336812 1 www.beijingreview.com.cn www.beijingreview.com.cn.chinacache.net 599
