1580730805.710789281 1 nameberry.com nameberry.com 59
1580730806.796227010 1 ads.blogherads.com z.ssl.fastly.net 72
1580730806.796227010 2 z.ssl.fastly.net ads.blogherads.com 29
1580730806.796271823 1 d3ljug581seh18.cloudfront.net d3ljug581seh18.cloudfront.net 59
1580730806.796271823 2 d3ljug581seh18.cloudfront.net d3ljug581seh18.cloudfront.net 59
1580730806.796271823 3 d3ljug581seh18.cloudfront.net d3ljug581seh18.cloudfront.net 59
1580730806.796271823 4 d3ljug581seh18.cloudfront.net d3ljug581seh18.cloudfront.net 59
1580730806.805284984 1 assets.pinterest.com s.pinimg.com 3331
1580730806.805284984 2 s.pinimg.com s-pinimg-com.gslb.pinterest.com 285
1580730806.805284984 3 s-pinimg-com.gslb.pinterest.com 2-01-37d2-0006.cdx.cedexis.net 2294
1580730806.805284984 4 2-01-37d2-0006.cdx.cedexis.net s.pinimg.com.edgekey.net 599
1580730806.805284984 5 s.pinimg.com.edgekey.net e6449.dsca.akamaiedge.net 191
1580730806.805284984 6 e6449.dsca.akamaiedge.net assets.pinterest.com 19
1580730806.864813717 1 s7.addthis.com s8.addthis.com 40
1580730806.864813717 2 s8.addthis.com ds-s7.addthis.com.edgekey.net 47
1580730806.864813717 3 ds-s7.addthis.com.edgekey.net e3615.a.akamaiedge.net 269
1580730806.864813717 4 e3615.a.akamaiedge.net s7.addthis.com 3
1580730807.014141172 1 translate.google.com www3.l.google.com 21599
1580730807.014141172 2 www3.l.google.com translate.google.com 299
1580730807.236181745 1 www.googletagmanager.com www-googletagmanager.l.google.com 21568
1580730807.236181745 2 www-googletagmanager.l.google.com www.googletagmanager.com 268
1580730807.268443639 1 nb-assets.imgix.net dualstack.com.imgix.map.fastly.net 3599
1580730807.268443639 2 dualstack.com.imgix.map.fastly.net nb-assets.imgix.net 29
1580730807.387575694 1 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580730807.387575694 2 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580730807.387575694 3 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580730807.387575694 4 quantcast.mgr.consensu.org quantcast.mgr.consensu.org 59
1580730807.390529612 1 tagan.adlightning.com tagan.adlightning.com 59
1580730807.390529612 2 tagan.adlightning.com tagan.adlightning.com 59
1580730807.390529612 3 tagan.adlightning.com tagan.adlightning.com 59
1580730807.390529612 4 tagan.adlightning.com tagan.adlightning.com 59
1580730807.459292532 1 securepubads.g.doubleclick.net partnerad.l.doubleclick.net 19684
1580730807.459292532 2 partnerad.l.doubleclick.net securepubads.g.doubleclick.net 299
1580730807.464637067 1 js-sec.indexww.com js-sec.casalemedia.com.edgekey.net 5205
1580730807.464637067 2 js-sec.casalemedia.com.edgekey.net e8037.g.akamaiedge.net 20985
1580730807.464637067 3 e8037.g.akamaiedge.net js-sec.indexww.com 19
1580730807.466374318 1 in.xspadvertising.com in.xspadvertising.com 41
1580730807.466374318 2 in.xspadvertising.com in.xspadvertising.com 41
1580730807.470399444 1 cdn.adsafeprotected.com d3tqyidpuy80xi.cloudfront.net 1160
1580730807.470399444 2 d3tqyidpuy80xi.cloudfront.net d3tqyidpuy80xi.cloudfront.net 59
1580730807.470399444 3 d3tqyidpuy80xi.cloudfront.net d3tqyidpuy80xi.cloudfront.net 59
1580730807.470399444 4 d3tqyidpuy80xi.cloudfront.net d3tqyidpuy80xi.cloudfront.net 59
1580730807.470399444 5 d3tqyidpuy80xi.cloudfront.net cdn.adsafeprotected.com 59
1580730807.472155204 1 sb.scorecardresearch.com sb.scorecardresearch.com.edgekey.net 17930
1580730807.472155204 2 sb.scorecardresearch.com.edgekey.net e1879.e7.akamaiedge.net 16776
1580730807.472155204 3 e1879.e7.akamaiedge.net sb.scorecardresearch.com 19
1580730807.916216202 1 adservice.google.es pagead46.l.doubleclick.net 120
1580730807.916216202 2 pagead46.l.doubleclick.net adservice.google.es 120
1580730807.920260708 1 adservice.google.com pagead46.l.doubleclick.net 119
1580730807.920260708 2 pagead46.l.doubleclick.net adservice.google.com 217
1580730807.967700271 1 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 25
1580730807.967700271 2 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 25
1580730807.967700271 3 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 25
1580730807.967700271 4 static.quantcast.mgr.consensu.org static.quantcast.mgr.consensu.org 25
1580730808.127444848 1 z.moatads.com wildcard.moatads.com.edgekey.net 10420
1580730808.127444848 2 wildcard.moatads.com.edgekey.net e13136.g.akamaiedge.net 168
