1589388674.971315986 1 caijing.com.cn caijing.com.cn 3362
1589388675.315931388 1 accounts.google.com accounts.google.com 299
1589388676.373391935 1 file.caijing.com.cn file.f5.caijing.com.cn 1799
1589388676.373391935 2 file.f5.caijing.com.cn file.caijing.com.cn 29
1589388676.464191592 1 ad.caijing.com.cn ad.f5.caijing.com.cn 599
1589388676.464191592 2 ad.f5.caijing.com.cn ad.caijing.com.cn 29
1589388676.497064663 1 image.caijing.com.cn image.f5.caijing.com.cn 599
1589388676.497064663 2 image.f5.caijing.com.cn image.caijing.com.cn 29
1589388676.892473859 1 img6.caijing.com.cn img6.f5.caijing.com.cn 599
1589388676.892473859 2 img6.f5.caijing.com.cn img6.caijing.com.cn 29
1589388676.979973933 1 cacerts.digicert.com cdn.digicertcdn.com 641
1589388676.979973933 2 cdn.digicertcdn.com cdn.digicertcdn.com 189
1589388676.979973933 3 cdn.digicertcdn.com cacerts.digicert.com 189
1589388677.477382832 1 tx1.cdn.caijing.com.cn cj.caijing.com.cn.txcdn.cn 599
1589388677.477382832 2 cj.caijing.com.cn.txcdn.cn 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com 299
1589388677.477382832 3 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com tx1.cdn.caijing.com.cn 29
1589388677.785969155 1 img3.caijing.com.cn img3.f5.caijing.com.cn 599
1589388677.785969155 2 img3.f5.caijing.com.cn img3.caijing.com.cn 28
1589388678.237656477 1 auto.caijing.com.cn auto.f5.caijing.com.cn 599
1589388678.237656477 2 auto.f5.caijing.com.cn auto.caijing.com.cn 29
1589388678.427753483 1 kxlogo.knet.cn kxlogo.knet.cn 299
1589388679.213386486 1 img5.caijing.com.cn img5.f5.caijing.com.cn 599
1589388679.213386486 2 img5.f5.caijing.com.cn img5.caijing.com.cn 29
1589388680.083717132 1 img1.caijing.com.cn img1.f5.caijing.com.cn 599
1589388680.083717132 2 img1.f5.caijing.com.cn img1.caijing.com.cn 29
1589388680.248176446 1 app.caijing.com.cn app.f5.caijing.com.cn 599
1589388680.248176446 2 app.f5.caijing.com.cn app.caijing.com.cn 29
1589388680.255605688 1 tx3.cdn.caijing.com.cn cj.caijing.com.cn.txcdn.cn 599
1589388680.255605688 2 cj.caijing.com.cn.txcdn.cn 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com 299
1589388680.255605688 3 2micnoq3pvbtgpnuwe4wfd0vjf1eb45d.wtxcdn.com tx3.cdn.caijing.com.cn 29
1589388680.259122435 1 cacerts.geotrust.com cacerts.digicert.com 96
1589388680.259122435 2 cacerts.digicert.com cdn.digicertcdn.com 634
1589388680.259122435 3 cdn.digicertcdn.com cdn.digicertcdn.com 100
1589388680.259122435 4 cdn.digicertcdn.com cacerts.geotrust.com 100
1589388680.262973780 1 column.caijing.com.cn column.f5.caijing.com.cn 599
1589388680.262973780 2 column.f5.caijing.com.cn column.caijing.com.cn 29
1589388680.476374342 1 stock.10jqka.com.cn cachetw.10jqka.com.cn 59
1589388680.476374342 2 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 3 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 4 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 5 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 6 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 7 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 8 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 9 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 10 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 11 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 12 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 13 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 14 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 15 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 16 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
1589388680.476374342 17 cachetw.10jqka.com.cn cachetw.10jqka.com.cn 14399
